Geography,unemployment
3558019,0
3558028,20
3558034,0
3558041,0
3558044,57.1
3558051,28.6
3558054,0
3558059,18.2
3558060,0
3558061,0
3558062,0
3558063,0
3558064,0
3558065,0
3558066,22.2
3558067,0
3558068,0
3558069,0
3558075,11.8
3558076,0
3558080,0
3558085,0
3558090,20
3558097,0
3559001,35.3
3559011,33.3
3559012,9.4
3559016,0
3559019,15.4
3559024,0
3559026,0
3559031,0
3559040,100
3559042,0
3559047,0
3559051,0
3559053,0
3559060,0
3559061,0
3559063,0
3559064,0
3559066,0
3559068,0
3559090,33.3
3560001,0
3560004,0
3560005,0
3560008,75
3560010,13
3560021,0
3560024,0
3560027,21
3560032,0
3560034,11.8
3560042,13.3
3560046,0
3560049,0
3560050,100
3560051,71.4
3560052,0
3560053,100
3560054,66.7
3560055,0
3560056,0
3560057,0
3560058,100
3560059,60
3560061,66.7
3560063,100
3560064,0
3560065,0
3560066,0
3560067,100
3560068,0
3560069,0
3560070,100
3560071,63.6
3560075,0
3560076,33.3
3560078,0
3560079,0
3560080,66.7
3560082,0
3560083,0
3560084,0
3560085,0
3560086,0
3560088,0
3560089,0
3560090,22.9
3560091,0
3560093,0
3560095,66.7
3560096,0
3560097,66.7
3560098,100
3560104,0
